"DocCount","DocUuid","DocDoi","DocArticleUuid","BibYear","BibSource","BibVolume","BibIssue","BibFirstPage","BibLastPage","CitTreatCitCount","CitFigCitCount","CitTabCitCount"
"1","5B678789FFC11458A09D0CE9FB5FFAB4","http://doi.org/10.5281/zenodo.4564945","A75EFFF1FFC4144AA00A0C7FFFCEFFE1","2021","Zootaxa","4927","2","156","169","38","19","1"
"1","D03F87E4D11D5054FF42DAF74890AE64","http://doi.org/10.5281/zenodo.4685801","2C06FF9CD1185052FFD5DF594C5AAC59","2021","Zootaxa","4952","1","157","157","1","6","1"
"1","03BD87E66BFDFF58AF89F94CFB713DB6","http://doi.org/10.5281/zenodo.4496620","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","157","158","4","4","1"
"1","03BD87E66BFCFF5AAF89FF41FD103CE1","http://doi.org/10.5281/zenodo.4534607","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","158","160","4","4","1"
"1","03BF87A3C846FFBDFF3DFA7FFA28A2F6","http://doi.org/10.5281/zenodo.4559926","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","158","161","9","9","1"
"1","D03F87E4D11F505BFF42DAAC4DA5AD18","http://doi.org/10.5281/zenodo.4685811","2C06FF9CD1185052FFD5DF594C5AAC59","2021","Zootaxa","4952","1","159","162","1","18","3"
"1","03BD87E66BC1FF64AF89FD05FD103BD5","http://doi.org/10.5281/zenodo.4496626","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","161","162","3","4","1"
"1","C24787C5BF59FFFCFF74F3CD6847633A","http://doi.org/10.5281/zenodo.4569769","3E7EFFBDBF53FFF7FFE3F062697E627B","2021","Zootaxa","4903","2","161","161","3","4","1"
"1","C24787C5BF58FFFCFF74F1F16DFA66E0","http://doi.org/10.5281/zenodo.4569771","3E7EFFBDBF53FFF7FFE3F062697E627B","2021","Zootaxa","4903","2","162","162","1","4","1"
"1","03BF87A3C84AFFBBFF3DFF49FE5BA167","http://doi.org/10.5281/zenodo.4559928","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","162","163","1","4","1"
"1","D03F87E4D113505EFF42DFCE4DF1AD18","http://doi.org/10.5281/zenodo.4685815","2C06FF9CD1185052FFD5DF594C5AAC59","2021","Zootaxa","4952","1","163","164","1","1","1"
"1","03C787B8FFBEFFE4B5695504FBA0D247","http://doi.org/10.5281/zenodo.4694715","FFFEFFC0FFACFFF2B708540DFFFED01B","2021","European Journal of Taxonomy","744","1","163","167","8","27","1"
"1","C24787C5BF5FFFFBFF74F417685B64C1","http://doi.org/10.5281/zenodo.4422923","3E7EFFBDBF53FFF7FFE3F062697E627B","2021","Zootaxa","4903","2","163","163","1","4","1"
"1","C24787C5BF5FFFFBFF74F11968E36653","http://doi.org/10.5281/zenodo.4569781","3E7EFFBDBF53FFF7FFE3F062697E627B","2021","Zootaxa","4903","2","163","163","2","5","1"
"1","03E587FAFFABFFAEFF2A5B052E7F7733","http://doi.org/10.5281/zenodo.4534246","FFDCFF82FFA7FFA0FFBD5F132D13762E","2021","Zootaxa","4926","2","163","164","5","22","1"
"1","D03F87E4D114505EFF42DECA480EAF0E","http://doi.org/10.5281/zenodo.4685819","2C06FF9CD1185052FFD5DF594C5AAC59","2021","Zootaxa","4952","1","164","164","1","1","1"
"1","03BF87A3C84FFFA7FF3DFCCFFE0FA436","http://doi.org/10.5281/zenodo.4559930","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","165","167","5","4","1"
"1","03C787B8FFBAFFEFB6F55694FB4BD172","http://doi.org/10.5281/zenodo.4694719","FFFEFFC0FFACFFF2B708540DFFFED01B","2021","European Journal of Taxonomy","744","1","167","173","3","24","1"
"1","0386CD35FF9BFFA77458FC6A400B90BE","http://doi.org/10.5281/zenodo.4721075","FFBFB54DFF9CFFA0757CFF9F44099755","2021","Zoosystema","43","10","168","168","8","1","1"
"1","03BF87A3C853FFA3FF3DF9F4FE29A20A","http://doi.org/10.5281/zenodo.4559936","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","169","171","1","6","1"
"1","03E587FAFFB5FFB5FF2A5E592FD771BB","http://doi.org/10.5281/zenodo.4534254","FFDCFF82FFA7FFA0FFBD5F132D13762E","2021","Zootaxa","4926","2","169","172","2","13","1"
"1","5B678789FFD61450A09D09D9FB9BFB08","http://doi.org/10.5281/zenodo.4564951","A75EFFF1FFC4144AA00A0C7FFFCEFFE1","2021","Zootaxa","4927","2","169","177","19","22","2"
"1","C24787C5BF47FFE3FF74F0F56A6B61E0","http://doi.org/10.5281/zenodo.4422968","3E7EFFBDBF53FFF7FFE3F062697E627B","2021","Zootaxa","4903","2","171","171","1","3","1"
"1","C24787C5BF47FFE3FF74F5F36BAC659D","http://doi.org/10.5281/zenodo.4422972","3E7EFFBDBF53FFF7FFE3F062697E627B","2021","Zootaxa","4903","2","171","171","1","4","1"
"1","03BF87A3C854FFA0FF3DFF49FDC3A58E","http://doi.org/10.5281/zenodo.4559940","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","172","174","7","6","1"
"1","03BD87E66BCDFF69AF89FD5CFB9D3BBD","http://doi.org/10.5281/zenodo.4496650","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","173","173","5","2","1"
"1","03BF87A3C856FFA0FF3DFE94FC24A01E","http://doi.org/10.5281/zenodo.4550170","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","174","174","3","7","1"
"1","03BF87A3C856FFACFF3DFA64FECBA58E","http://doi.org/10.5281/zenodo.4559944","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","174","177","11","3","1"
"1","361087A7FF75FF1755ABFA485204CFE4","http://doi.org/10.5281/zenodo.4473114","CA29FFDFFFC5FFA0553CFFA5506ACD15","2021","Zootaxa","4912","1","177","184","28","24","2"
"1","03BF87A3C85AFFACFF3DFE94FCEAA1E6","http://doi.org/10.5281/zenodo.4559946","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","178","178","1","3","1"
"1","03BF87A3C85AFFACFF3DFB3CFDE6A282","http://doi.org/10.5281/zenodo.4559948","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","178","178","4","1","1"
"1","03BF87A3C85DFFAAFF3DFC19FE2AA4DA","http://doi.org/10.5281/zenodo.4559950","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","179","180","8","6","1"
"1","03BF87A3C85CFFA9FF3DFD43FB22A6D2","http://doi.org/10.5281/zenodo.4550184","FF86FFDBC841FFB7FFAAFFDEFFA5A577","2021","Zootaxa","4933","2","180","181","2","5","1"
"1","03E587FAFFB9FF80FF2A5A462F857137","http://doi.org/10.5281/zenodo.4534260","FFDCFF82FFA7FFA0FFBD5F132D13762E","2021","Zootaxa","4926","2","181","183","2","9","1"
